xxGeoId|Geography|LEAID|Year|Iteration|CDP02_10est|CDP02_10moe|CDP02_11est|CDP02_11moe|CDP02_11pct|CDP02_11pctmoe|CDP02_12est|CDP02_12moe|CDP02_12pct|CDP02_12pctmoe|CDP02_13est|CDP02_13moe|CDP02_13pct|CDP02_13pctmoe|CDP02_14est|CDP02_14moe|CDP02_14pct|CDP02_14pctmoe|CDP02_15est|CDP02_15moe|CDP02_15pct|CDP02_15pctmoe
97000US2200030|Acadia Parish School District|2200030|2014-2018|105|9870|425|575|148|5.8|1.5|375|139|3.8|1.4|6440|423|65.2|3.3|2480|329|25.1|3.1|0|29|0.0|0.4
97000US5100060|Accomack County Public Schools|5100060|2014-2018|105|4595|254|205|110|4.5|2.3|245|125|5.3|2.7|2880|231|62.7|3.8|1270|125|27.6|2.5|0|25|0.0|0.7
97000US0600001|Acton-Agua Dulce Unified School District|0600001|2014-2018|105|1250|247|0|19|0.0|2.8|50|48|4.0|3.6|590|158|47.2|9.2|610|167|48.8|9.5|0|19|0.0|2.8
97000US2700126|Ada-Borup Public School District|2700126|2014-2018|105|520|66|20|13|3.8|2.2|10|8|1.9|2.4|320|58|61.5|6.4|170|30|32.7|4.9|0|9|0.0|3.3
97000US2100030|Adair County School District|2100030|2014-2018|105|2705|115|100|58|3.7|2.1|245|84|9.1|3.2|1545|130|57.1|4.3|815|99|30.1|3.4|0|18|0.0|1.1
97000US1903090|Adair-Casey Community School District|1903090|2014-2018|105|365|102|30|17|8.2|4.4|40|27|11.0|6.6|205|75|56.2|10.4|90|34|24.7|8.2|0|9|0.0|5.3
97000US1800060|Adams Central Community Schools|1800060|2014-2018|105|1380|276|0|16|0.0|2.1|80|39|5.8|2.8|935|205|67.8|5.9|365|107|26.4|5.3|0|16|0.0|2.1
97000US5500060|Adams-Friendship Area School District|5500060|2014-2018|105|1660|101|140|48|8.4|2.8|95|35|5.7|2.1|975|98|58.7|4.7|450|67|27.1|3.7|0|14|0.0|1.0
97000US5099903|Addison Central Supervisory Union|5099903|2014-2018|105|1550|144|85|36|5.5|2.4|85|41|5.5|2.8|985|124|63.5|5.1|395|83|25.5|4.6|0|15|0.0|1.3
97000US5099901|Addison Northeast Supervisory Union|5099901|2014-2018|105|1790|157|100|35|5.6|2.0|135|41|7.5|2.4|955|125|53.4|4.6|595|101|33.2|4.6|0|15|0.0|1.1
97000US5099902|Addison Northwest Supervisory Union|5099902|2014-2018|105|940|103|55|37|5.9|3.8|50|30|5.3|3.2|525|78|55.9|6.3|315|64|33.5|5.8|0|13|0.0|2.1
97000US5099904|Addison Rutland Supervisory Union|5099904|2014-2018|105|1370|166|100|49|7.3|3.7|100|55|7.3|3.9|765|151|55.8|7.4|405|88|29.6|6.1|0|15|0.0|1.4
95000US1703150|Addison School District 4|1703150|2014-2018|105|3970|432|170|89|4.3|2.1|210|75|5.3|2.0|3590|425|90.4|2.9|0|23|0.0|0.7|0|23|0.0|0.7
97000US1903150|Adel-De Soto-Minburn Community School District|1903150|2014-2018|105|1680|227|55|37|3.3|2.2|95|49|5.7|2.9|1085|189|64.6|7.6|440|131|26.2|6.6|0|13|0.0|1.2
97000US4600042|Agar-Blunt-Onida School District 58-3|4600042|2014-2018|105|385|73|20|18|5.2|4.8|10|11|2.6|3.0|280|62|72.7|6.6|75|20|19.5|4.6|0|9|0.0|5.1
97000US4807530|Agua Dulce Independent School District|4807530|2014-2018|105|275|103|20|22|7.3|8.0|4|10|1.5|4.0|165|73|60.0|13.8|85|51|30.9|13.9|0|13|0.0|13.5
96000US0400450|Agua Fria Union High School District|0400450|2014-2018|105|8415|621|0|29|0.0|0.4|0|29|0.0|0.4|0|29|0.0|0.4|8415|621|100.0|0.4|0|29|0.0|0.4
95000US0400480|Aguila Elementary District|0400480|2014-2018|105|300|121|0|12|0.0|11.0|10|15|3.3|4.4|185|84|61.7|15.1|105|65|35.0|15.6|0|12|0.0|11.0
97000US1903060|AGWSR Community School District|1903060|2014-2018|105|740|130|100|34|13.5|4.4|45|21|6.1|2.8|425|86|57.4|6.2|170|60|23.0|6.3|0|9|0.0|2.7
97000US4500720|Aiken County School District|4500720|2014-2018|105|24855|622|900|210|3.6|0.8|1890|325|7.6|1.3|14755|552|59.4|1.8|7305|401|29.4|1.4|0|29|0.0|0.1
95000US1703210|Akin Community Consolidated School District 91|1703210|2014-2018|105|75|24|0|11|0.0|29.8|4|8|5.3|11.5|70|22|93.3|10.2|0|11|0.0|29.8|0|11|0.0|29.8
97000US1903220|Akron-Westfield Community School District|1903220|2014-2018|105|655|148|35|20|5.3|2.9|55|29|8.4|4.2|410|101|62.6|7.7|160|62|24.4|6.8|0|9|0.0|3.0
97000US0100190|Alabaster City School District|0100190|2014-2018|105|5290|518|0|25|0.0|0.6|275|113|5.2|2.1|3605|429|68.1|4.3|1410|275|26.7|4.6|0|25|0.0|0.6
97000US1200030|Alachua County School District|1200030|2014-2018|105|28880|704|1760|357|6.1|1.2|1940|321|6.7|1.1|17060|658|59.1|2.1|8120|409|28.1|1.1|0|31|0.0|0.1
97000US3700030|Alamance-Burlington Schools|3700030|2014-2018|105|24845|544|1025|252|4.1|1.0|1780|276|7.2|1.1|14170|513|57.0|1.9|7870|407|31.7|1.4|0|29|0.0|0.1
95000US4700030|Alamo City School District|4700030|2014-2018|105|425|108|60|42|14.1|9.7|40|29|9.4|6.8|325|106|76.5|14.1|0|12|0.0|7.9|0|12|0.0|7.9
97000US4807590|Alamo Heights Independent School District|4807590|2014-2018|105|5110|557|215|135|4.2|2.6|300|137|5.9|2.7|2975|372|58.2|5.4|1620|384|31.7|5.9|0|28|0.0|0.8
97000US3500030|Alamogordo Public Schools|3500030|2014-2018|105|6625|554|440|194|6.6|2.7|815|243|12.3|3.5|3715|368|56.1|3.9|1655|222|25.0|2.8|0|25|0.0|0.5
97000US0200050|Alaska Gateway School District|0200050|2014-2018|105|470|84|55|38|11.7|7.7|30|22|6.4|5.2|285|51|60.6|6.7|100|41|21.3|7.2|0|9|0.0|4.2
97000US4807650|Alba-Golden Independent School District|4807650|2014-2018|105|1085|222|90|59|8.3|6.0|85|75|7.8|6.9|770|220|71.0|12.2|145|81|13.4|6.4|0|19|0.0|3.6
97000US5600730|Albany County School District 1|5600730|2014-2018|105|4010|213|0|25|0.0|0.8|390|154|9.7|3.6|2620|204|65.3|4.4|1000|120|24.9|2.7|0|25|0.0|0.8
97000US4807680|Albany Independent School District|4807680|2014-2018|105|510|95|25|23|4.9|4.7|55|43|10.8|8.8|225|74|44.1|11.7|210|70|41.2|10.5|0|13|0.0|7.5
97000US5500120|Albany School District|5500120|2014-2018|105|490|73|30|17|6.1|3.6|30|13|6.1|2.5|280|49|57.1|6.3|150|41|30.6|6.3|0|9|0.0|3.5
97000US5100090|Albemarle County Public Schools|5100090|2014-2018|105|13370|393|605|184|4.5|1.4|895|201|6.7|1.5|8085|334|60.5|2.1|3790|271|28.3|1.9|0|28|0.0|0.2
95000US1703270|Albers School District 63|1703270|2014-2018|105|220|72|20|16|9.1|7.9|25|24|11.4|9.6|175|58|79.5|11.1|0|11|0.0|11.7|0|11|0.0|11.7
97000US1900031|Albert City-Truesdale Community School District|1900031|2014-2018|105|225|62|20|15|8.9|6.5|25|20|11.1|8.0|110|40|48.9|9.6|70|29|31.1|9.7|0|9|0.0|8.5
97000US0100005|Albertville City School District|0100005|2014-2018|105|4335|394|0|22|0.0|0.7|400|181|9.2|4.0|2925|351|67.5|5.6|1010|219|23.3|4.7|0|22|0.0|0.7
97000US1903270|Albia Community School District|1903270|2014-2018|105|1325|145|105|37|7.9|2.7|180|79|13.6|5.9|815|128|61.5|6.6|220|72|16.6|5.2|0|13|0.0|1.5
97000US3500060|Albuquerque Public Schools|3500060|2014-2018|105|102870|1314|5475|550|5.3|0.5|7055|677|6.9|0.6|61745|1018|60.0|0.9|28595|783|27.8|0.7|0|28|0.0|0.1
97000US1903300|Alburnett Community School District|1903300|2014-2018|105|430|123|15|17|3.5|3.9|30|39|7.0|8.9|200|64|46.5|12.3|185|91|43.0|14.3|0|9|0.0|4.5
97000US4600028|Alcester-Hudson School District 61-1|4600028|2014-2018|105|325|117|55|30|16.9|9.0|20|20|6.2|5.4|180|71|55.4|7.4|70|38|21.5|8.4|0|9|0.0|6.0
97000US4700060|Alcoa City School District|4700060|2014-2018|105|1675|313|75|59|4.5|3.4|235|108|14.0|5.4|980|246|58.5|8.8|385|133|23.0|8.1|0|17|0.0|2.1
97000US2800390|Alcorn School District|2800390|2014-2018|105|3965|305|245|124|6.2|3.1|405|114|10.2|2.8|2170|260|54.7|5.1|1145|180|28.9|4.2|0|24|0.0|0.9
97000US1900032|Alden Community School District|1900032|2014-2018|105|280|80|15|9|5.4|3.0|25|14|8.9|4.5|185|57|66.1|6.7|55|27|19.6|7.6|0|9|0.0|6.9
97000US2703030|Alden-Conger Public School District|2703030|2014-2018|105|240|91|20|23|8.3|7.7|15|10|6.3|5.1|140|45|58.3|9.0|65|30|27.1|6.3|0|9|0.0|7.0
97000US1703300|Alden-Hebron School District 19|1703300|2014-2018|105|515|181|65|57|12.6|8.6|35|21|6.8|4.4|310|125|60.2|9.4|110|54|21.4|11.0|0|11|0.0|5.2
97000US4807710|Aldine Independent School District|4807710|2014-2018|105|71545|2529|4180|635|5.8|0.9|5300|559|7.4|0.8|44150|2098|61.7|1.6|17920|1194|25.0|1.5|0|31|0.0|0.1
97000US4807780|Aledo Independent School District|4807780|2014-2018|105|5920|546|235|85|4.0|1.4|345|107|5.8|1.9|3920|418|66.2|4.1|1420|297|24.0|4.1|0|25|0.0|0.7
97000US0200007|Aleutians East Borough School District|0200007|2014-2018|105|430|77|30|12|7.0|2.8|30|11|7.0|3.0|230|45|53.5|4.3|140|34|32.6|4.7|0|9|0.0|4.5
97000US0100030|Alexander City City School District|0100030|2014-2018|105|2965|357|0|19|0.0|1.1|190|118|6.4|3.7|1865|307|62.9|6.2|910|191|30.7|6.4|0|19|0.0|1.1
97000US3700090|Alexander County Schools|3700090|2014-2018|105|4935|365|0|26|0.0|0.7|330|114|6.7|2.2|3180|269|64.4|3.8|1425|220|28.9|3.6|0|26|0.0|0.7
97000US5100120|Alexandria City Public Schools|5100120|2014-2018|105|14465|478|830|215|5.7|1.4|1155|254|8.0|1.7|8810|372|60.9|2.2|3670|345|25.4|2.2|0|28|0.0|0.2
97000US1800120|Alexandria Community School Corporation|1800120|2014-2018|105|1295|197|85|69|6.6|5.6|120|82|9.3|5.7|720|166|55.6|8.9|365|138|28.2|10.3|0|16|0.0|2.3
97000US2703060|Alexandria Public School District|2703060|2014-2018|105|4525|200|345|108|7.6|2.3|315|87|7.0|2.0|2715|172|60.0|2.8|1145|117|25.3|2.4|0|18|0.0|0.4
95000US3400690|Alexandria Township School District|3400690|2014-2018|105|580|143|45|54|7.8|9.1|60|44|10.3|7.1|475|128|81.9|10.6|0|12|0.0|5.4|0|12|0.0|5.4
97000US5500150|Algoma School District|5500150|2014-2018|105|700|119|40|27|5.7|4.2|45|30|6.4|4.3|320|113|45.7|10.5|300|64|42.9|9.1|0|12|0.0|2.5
97000US1903360|Algona Community School District|1903360|2014-2018|105|1535|158|170|54|11.1|3.1|125|51|8.1|3.4|920|122|59.9|5.2|325|72|21.2|4.0|0|15|0.0|1.3
95000US0400600|Alhambra Elementary District|0400600|2014-2018|105|14445|1089|570|174|3.9|1.2|1365|279|9.4|1.8|12510|1036|86.6|2.2|0|29|0.0|0.2|0|29|0.0|0.2
97000US0600153|Alhambra Unified School District|0600153|2014-2018|105|13080|737|0|29|0.0|0.3|765|207|5.8|1.5|8095|564|61.9|2.8|4225|454|32.3|2.8|0|29|0.0|0.3
97000US4807800|Alice Independent School District|4807800|2014-2018|105|5590|463|375|171|6.7|3.0|240|150|4.3|2.6|3385|407|60.6|5.0|1590|255|28.4|4.3|0|25|0.0|0.7
97000US4807830|Alief Independent School District|4807830|2014-2018|105|52830|2058|3190|452|6.0|0.8|4125|569|7.8|1.1|31275|1447|59.2|1.7|14240|1256|27.0|1.9|0|31|0.0|0.1
97000US1903390|Allamakee Community School District|1903390|2014-2018|105|970|138|60|39|6.2|3.8|100|50|10.3|4.7|520|103|53.6|6.4|290|52|29.9|5.4|0|13|0.0|2.0
97000US3400720|Allamuchy Township School District|3400720|2014-2018|105|505|127|0|12|0.0|6.2|55|39|10.9|7.7|360|117|71.3|12.3|90|49|17.8|9.0|0|12|0.0|6.2
97000US2400030|Allegany County Public Schools|2400030|2014-2018|105|9015|217|650|125|7.2|1.3|730|164|8.1|1.8|5105|215|56.6|2.5|2530|189|28.1|1.9|0|28|0.0|0.4
97000US3600015|Allegany-Limestone Central School District|3600015|2014-2018|105|1040|165|85|39|8.2|3.4|50|30|4.8|2.8|575|114|55.3|5.9|330|74|31.7|5.5|0|17|0.0|3.1
97000US5100152|Alleghany County Public Schools|5100152|2014-2018|105|2135|120|55|35|2.6|1.7|160|68|7.5|3.2|1150|128|53.9|4.8|765|103|35.8|4.7|0|19|0.0|1.5
97000US3700120|Alleghany County Schools|3700120|2014-2018|105|1510|121|85|37|5.6|2.5|95|63|6.3|4.2|850|107|56.3|6.5|485|127|32.1|7.3|0|19|0.0|2.3
97000US2100070|Allen County School District|2100070|2014-2018|105|3415|235|280|112|8.2|3.4|345|120|10.1|3.5|1905|261|55.8|6.1|890|111|26.1|2.8|0|21|0.0|0.9
97000US4807890|Allen Independent School District|4807890|2014-2018|105|21940|1088|950|323|4.3|1.5|1505|292|6.9|1.3|12995|916|59.2|3.2|6490|760|29.6|3.0|0|31|0.0|0.2
97000US2200060|Allen Parish School District|2200060|2014-2018|105|4215|219|380|125|9.0|2.7|340|108|8.1|2.6|2445|165|58.0|3.9|1050|145|24.9|2.9|0|23|0.0|0.8
95000US1703420|Allen Township Community Consolidated School District 65|1703420|2014-2018|105|95|46|0|11|0.0|24.7|4|7|4.2|9.5|85|45|89.5|16.1|0|11|0.0|24.7|0|11|0.0|24.7
95000US3400750|Allendale Borough School District|3400750|2014-2018|105|1120|176|60|69|5.4|5.8|105|66|9.4|6.2|955|163|85.3|7.8|0|17|0.0|2.9|0|17|0.0|2.9
97000US1703450|Allendale Community Consolidated School District 17|1703450|2014-2018|105|300|93|35|22|11.7|6.9|20|19|6.7|6.4|175|72|58.3|11.1|65|26|21.7|8.0|0|11|0.0|8.8
97000US4500750|Allendale County School District|4500750|2014-2018|105|1330|117|55|55|4.1|4.0|80|61|6.0|4.8|820|115|61.7|7.7|380|103|28.6|6.6|0|17|0.0|2.6
97000US3400810|Alloway Township School District|3400810|2014-2018|105|645|140|35|31|5.4|4.9|4|12|0.6|2.7|365|98|56.6|11.4|235|98|36.4|11.2|0|12|0.0|4.9
97000US5500210|Alma Center School District|5500210|2014-2018|105|550|92|55|28|10.0|4.6|35|17|6.4|3.2|330|62|60.0|6.5|130|35|23.6|4.7|0|9|0.0|3.1
97000US3100080|Alma Public Schools|3100080|2014-2018|105|230|62|10|7|4.3|4.9|20|20|8.7|8.3|130|42|56.5|12.7|70|27|30.4|8.6|0|9|0.0|8.3
97000US5500180|Alma School District|5500180|2014-2018|105|190|56|10|7|5.3|5.5|4|4|2.1|1.9|120|43|63.2|10.7|55|22|28.9|9.9|0|9|0.0|8.8
97000US5500240|Almond-Bancroft School District|5500240|2014-2018|105|495|87|25|10|5.1|2.7|30|18|6.1|3.6|255|47|51.5|6.1|185|53|37.4|6.6|0|9|0.0|3.5
97000US3400840|Alpha Borough School District|3400840|2014-2018|105|210|51|0|12|0.0|14.3|15|14|7.1|7.1|135|37|64.3|12.0|65|26|31.0|9.7|0|12|0.0|14.3
97000US3400870|Alpine Borough School District|3400870|2014-2018|105|195|74|0|12|0.0|15.3|10|15|5.1|8.4|130|58|66.7|12.0|55|27|28.2|11.7|0|12|0.0|15.3
97000US4807950|Alpine Independent School District|4807950|2014-2018|105|1100|127|175|71|15.9|5.5|55|46|5.0|4.3|590|112|53.6|8.9|280|89|25.5|8.0|0|19|0.0|3.6
97000US4900030|Alpine School District|4900030|2014-2018|105|82480|1476|0|27|0.0|0.1|6825|500|8.3|0.6|52110|1187|63.2|0.8|23545|695|28.5|0.7|0|27|0.0|0.1
95000US1703480|Alsip-Hazelgreen-Oaklawn School District 126|1703480|2014-2018|105|1690|349|185|93|10.9|4.9|125|82|7.4|4.8|1380|314|81.7|6.1|0|17|0.0|1.6|0|17|0.0|1.6
97000US1903480|Alta Community School District|1903480|2014-2018|105|545|102|35|16|6.4|3.3|45|18|8.3|2.9|325|73|59.6|7.5|145|54|26.6|7.6|0|9|0.0|3.6
97000US1703510|Altamont Community Unit School District 10|1703510|2014-2018|105|680|115|35|23|5.1|3.5|45|35|6.6|5.2|365|82|53.7|8.7|235|71|34.6|8.1|0|11|0.0|4.0
95000US2903040|Altenburg 48 School District|2903040|2014-2018|105|105|63|0|11|0.0|22.8|0|11|0.0|22.8|40|38|38.1|32.7|65|56|61.9|32.7|0|11|0.0|22.8
97000US4807980|Alto Independent School District|4807980|2014-2018|105|710|223|15|15|2.1|2.3|90|55|12.7|6.4|455|166|64.1|10.0|155|80|21.8|10.2|0|13|0.0|5.5
97000US1703600|Alton Community Unit School District 11|1703600|2014-2018|105|6545|511|465|177|7.1|2.5|315|125|4.8|1.9|4105|404|62.7|4.5|1655|292|25.3|4.1|0|23|0.0|0.4
97000US2903060|Alton R-IV School District|2903060|2014-2018|105|535|165|60|53|11.2|8.6|45|47|8.4|8.0|235|92|43.9|12.1|195|91|36.4|15.4|0|11|0.0|5.0
97000US5500270|Altoona School District|5500270|2014-2018|105|1815|341|135|94|7.4|4.8|360|175|19.8|9.4|850|228|46.8|8.5|475|198|26.2|9.9|0|12|0.0|1.0
97000US4800011|Alvarado Independent School District|4800011|2014-2018|105|2700|508|160|106|5.9|3.8|70|53|2.6|2.0|1805|418|66.9|7.0|665|188|24.6|6.3|0|21|0.0|1.5
97000US1703660|Alwood Community Unit School District 225|1703660|2014-2018|105|380|82|20|17|5.3|4.3|15|10|3.9|3.9|245|55|64.5|7.8|100|38|26.3|7.6|0|11|0.0|7.0
97000US1703690|Amboy Community Unit School District 272|1703690|2014-2018|105|750|120|30|21|4.0|3.0|50|31|6.7|4.0|440|85|58.7|7.2|230|64|30.7|6.3|0|11|0.0|3.6
97000US5100180|Amelia County Public Schools|5100180|2014-2018|105|1865|276|90|90|4.8|4.6|70|71|3.8|3.8|1025|225|55.0|8.4|680|164|36.5|7.9|0|19|0.0|1.7
97000US1600060|American Falls Joint School District 381|1600060|2014-2018|105|1365|140|60|63|4.4|4.5|20|23|1.5|1.6|830|139|60.8|7.7|455|119|33.3|8.3|0|17|0.0|2.3
97000US5500300|Amery School District|5500300|2014-2018|105|1595|169|85|40|5.3|2.4|45|20|2.8|1.3|975|139|61.1|5.7|495|108|31.0|5.9|0|12|0.0|1.1
97000US1903540|Ames Community School District|1903540|2014-2018|105|4680|423|315|121|6.7|2.4|530|141|11.3|2.9|2795|314|59.7|3.8|1040|175|22.2|3.2|0|22|0.0|0.4
97000US5100210|Amherst County Public Schools|5100210|2014-2018|105|3835|237|140|81|3.7|2.1|165|85|4.3|2.2|2420|243|63.1|4.2|1110|151|28.9|3.9|0|25|0.0|0.8
97000US3100070|Amherst Public Schools|3100070|2014-2018|105|140|53|10|7|7.1|5.6|4|6|2.9|9.7|100|49|71.4|12.6|25|13|17.9|9.7|0|9|0.0|13.3
97000US2800420|Amite County School District|2800420|2014-2018|105|1380|153|0|20|0.0|2.7|210|107|15.2|7.1|810|112|58.7|6.1|360|68|26.1|4.3|0|20|0.0|2.7
97000US2800450|Amory School District|2800450|2014-2018|105|1595|298|45|34|2.8|2.2|195|97|12.2|5.6|1175|261|73.7|7.0|180|83|11.3|5.2|0|20|0.0|2.3
97000US0400680|Amphitheater Unified District|0400680|2014-2018|105|16525|952|695|191|4.2|1.2|1020|211|6.2|1.2|9535|669|57.7|2.4|5275|486|31.9|2.2|0|29|0.0|0.2
97000US5300150|Anacortes School District|5300150|2014-2018|105|2480|140|150|40|6.0|1.7|155|33|6.3|1.3|1435|115|57.9|3.2|735|89|29.6|3.1|0|22|0.0|1.3
97000US4003000|Anadarko Public Schools|4003000|2014-2018|105|2065|169|235|77|11.4|3.4|155|62|7.5|2.9|1185|125|57.4|6.0|490|118|23.7|4.9|0|13|0.0|1.0
97000US1903570|Anamosa Community School District|1903570|2014-2018|105|1360|183|70|55|5.1|4.0|135|73|9.9|5.1|895|151|65.8|7.6|265|83|19.5|5.5|0|13|0.0|1.5
95000US2100090|Anchorage Independent School District|2100090|2014-2018|105|365|113|0|11|0.0|7.9|80|36|21.9|6.3|285|88|78.1|6.3|0|11|0.0|7.9|0|11|0.0|7.9
97000US0200180|Anchorage School District|0200180|2014-2018|105|47840|737|1880|303|3.9|0.6|3780|471|7.9|1.0|27610|736|57.7|1.3|14570|491|30.5|0.9|0|22|0.0|0.1
97000US0100060|Andalusia City School District|0100060|2014-2018|105|1485|188|0|17|0.0|2.2|120|58|8.1|4.0|875|138|58.9|7.6|495|146|33.3|7.6|0|17|0.0|2.2
97000US1800150|Anderson Community School Corporation|1800150|2014-2018|105|8890|618|380|147|4.3|1.6|655|168|7.4|1.8|5580|480|62.8|2.8|2275|237|25.6|2.4|0|27|0.0|0.3
97000US2100120|Anderson County School District|2100120|2014-2018|105|3880|227|235|110|6.1|2.7|370|146|9.5|3.8|2140|203|55.2|4.4|1130|180|29.1|4.2|0|21|0.0|0.8
97000US4700090|Anderson County School District|4700090|2014-2018|105|6230|402|235|122|3.8|1.9|345|138|5.5|2.2|3680|337|59.1|3.7|1965|252|31.5|3.9|0|26|0.0|0.6
95000US4003010|Anderson Public School|4003010|2014-2018|105|360|91|10|12|2.8|3.2|40|24|11.1|6.2|185|58|51.4|11.2|130|53|36.1|11.4|0|9|0.0|5.4
97000US4500780|Anderson School District 1|4500780|2014-2018|105|9790|731|265|126|2.7|1.3|600|211|6.1|2.1|6015|648|61.4|3.9|2910|316|29.7|3.0|0|29|0.0|0.4
97000US4500810|Anderson School District 2|4500810|2014-2018|105|3780|463|75|48|2.0|1.3|380|159|10.1|4.2|2095|338|55.4|7.0|1230|344|32.5|7.2|0|23|0.0|0.9
97000US4500840|Anderson School District 3|4500840|2014-2018|105|2595|396|60|60|2.3|2.4|265|149|10.2|5.7|1745|384|67.2|7.7|525|144|20.2|5.7|0|19|0.0|1.3
97000US4500870|Anderson School District 4|4500870|2014-2018|105|2960|401|115|82|3.9|2.7|270|121|9.1|3.9|1960|323|66.2|6.4|615|209|20.8|6.6|0|23|0.0|1.2
97000US4500900|Anderson School District 5|4500900|2014-2018|105|12955|666|735|195|5.7|1.5|830|238|6.4|1.7|7925|496|61.2|3.3|3460|427|26.7|2.8|0|29|0.0|0.3
97000US3603030|Andover Central School District|3603030|2014-2018|105|345|85|25|17|7.2|5.1|4|5|1.2|1.6|185|59|53.6|9.4|135|43|39.1|8.1|0|12|0.0|9.0
97000US3400900|Andover Regional School District|3400900|2014-2018|105|880|135|20|21|2.3|2.4|10|13|1.1|1.6|455|108|51.7|8.1|395|97|44.9|8.8|0|17|0.0|3.6
95000US0900030|Andover School District|0900030|2014-2018|105|280|84|60|43|21.4|14.4|20|23|7.1|7.8|200|72|71.4|14.3|0|12|0.0|11.7|0|12|0.0|11.7
97000US2003360|Andover Unified School District 385|2003360|2014-2018|105|5085|425|225|97|4.4|1.9|255|93|5.0|1.8|3005|347|59.1|4.4|1595|270|31.4|4.5|0|19|0.0|0.5
97000US1903630|Andrew Community School District|1903630|2014-2018|105|255|68|30|19|11.8|6.3|15|9|5.9|4.0|150|42|58.8|8.3|65|30|25.5|9.2|0|9|0.0|7.5
97000US1903690|Ankeny Community School District|1903690|2014-2018|105|12110|1168|855|239|7.1|1.8|780|213|6.4|1.7|7130|733|58.9|4.3|3345|680|27.6|4.3|0|22|0.0|0.2
95000US1703750|Anna Community Consolidated School District 37|1703750|2014-2018|105|735|150|0|15|0.0|3.7|70|49|9.5|6.9|665|154|90.5|6.9|0|15|0.0|3.7|0|15|0.0|3.7
96000US1703780|Anna Jonesboro Community High School District 81|1703780|2014-2018|105|520|111|0|17|0.0|5.1|0|17|0.0|5.1|0|17|0.0|5.1|520|111|100.0|5.1|0|17|0.0|5.1
97000US2703150|Annandale Public School District|2703150|2014-2018|105|1820|227|90|38|4.9|2.1|185|80|10.2|4.3|1060|177|58.2|5.7|485|103|26.6|4.7|0|14|0.0|1.0
97000US1703810|Annawan Community Unit School District 226|1703810|2014-2018|105|320|80|25|22|7.8|6.2|15|16|4.7|6.0|185|55|57.8|9.6|95|31|29.7|8.8|0|11|0.0|8.2
97000US2400060|Anne Arundel County Public Schools|2400060|2014-2018|105|80020|1213|4020|457|5.0|0.5|5855|533|7.3|0.7|48405|1008|60.5|0.9|21740|643|27.2|0.7|0|28|0.0|0.1
